mass_kg,grade_deg,steady_force_N,wheel_output_torque_Nm,minimum_uniform_mu,wheel_output_torque_Nm_at_accel_0p1
15.0,21.25,61.54043229619487,2.153915130366821,0.44887873185298965,2.2064151303668207
15.0,21.5,62.12409032458327,2.1743431613604147,0.4539104756149424,2.2268431613604145
15.0,21.75,62.70656559984184,2.1947297959944647,0.45895954597371935,2.2472297959944645
15.0,22.0,63.28784703248095,2.2150746461368334,0.4640262258351568,2.267574646136833
15.0,22.25,63.86792355574003,2.235377324450901,0.4691108014277097,2.2878773244509008
15.0,22.5,64.44678412579825,2.255637444402939,0.47421356237309503,2.3081374444029383
15.0,22.75,65.02441772198473,2.275854620269466,0.47933480175838683,2.328354620269465
15.0,23.0,65.60081334698847,2.296028467144597,0.48447481620960475,2.3485284671445967
15.0,23.25,66.17596002706763,2.316158600947367,0.48963390596683604,2.3686586009473674
15.0,23.5,66.74984681225847,2.3362446384290467,0.4948123749609336,2.3887446384290465
15.0,23.75,67.32246277658383,2.3562861971804345,0.5000105308918334,2.4087861971804343
15.0,24.0,67.89379701826117,2.3762828956391413,0.5052286853085362,2.4287828956391406
15.0,24.25,68.46383865991007,2.3962343530968524,0.5104671536907989,2.4487343530968526
15.0,24.5,69.0325768487594,2.4161401897065793,0.5157262555325847,2.4686401897065795
15.0,24.75,69.60000075685385,2.436000026489885,0.5210063144273182,2.488500026489884
15.0,25.0,70.16609958126011,2.455813485344104,0.5263076581549986,2.5083134853441043
15.0,25.25,70.73086254427261,2.4755801890495417,0.5316306187712211,2.5280801890495415
15.0,25.5,71.29427889361861,2.4952997612766517,0.5369755326981602,2.547799761276651
15.0,25.75,71.85633790266297,2.514971826593204,0.5423427408175705,2.5674718265932044
15.0,26.0,72.41702887061234,2.5345960104714322,0.5477325885658615,2.5870960104714316
15.0,26.25,72.97634112271892,2.5541719392951623,0.5531454260313041,2.6066719392951625
15.0,26.5,73.53426401048364,2.5736992403669277,0.5585816080534314,2.626199240366927
15.0,26.75,74.09078691185896,2.5931775419150638,0.564041494324693,2.6456775419150635
15.0,27.0,74.64589923145107,2.6126064731007874,0.5695254494944288,2.6651064731007876
15.0,27.25,75.19959040072153,2.6319856640252537,0.5750338432752289,2.684485664025254
15.0,27.5,75.75184987818866,2.6513147457366033,0.5805670505517462,2.7038147457366035
15.0,27.75,76.30266714962805,2.670593350236982,0.586125451492034,2.723093350236982
15.0,28.0,76.85203172827283,2.6898211104895493,0.5917094316614788,2.742321110489549
15.0,28.25,77.39993315501333,2.708997660425467,0.5973193821394065,2.761497660425466
