turn_radius_m,body_speed_m_s,wheel,steering_deg,rolling_speed_m_s,wheel_rpm
2.375,0.25,FR,9.082408350844176,0.3027430641334107,20.649880775836714
2.375,0.25,RL,-13.370866502485073,0.20665428730087793,14.095736286457464
2.375,0.25,RR,-9.082408350844176,0.3027430641334107,20.649880775836714
2.4,0.25,FL,13.20420557735475,0.2070360914004153,14.1217788620578
2.4,0.25,FR,9.004459311674937,0.30216128663738695,20.61019816257737
2.4,0.25,RL,-13.20420557735475,0.2070360914004153,14.1217788620578
2.4,0.25,RR,-9.004459311674937,0.30216128663738695,20.61019816257737
2.4250000000000003,0.25,FL,13.04157703582658,0.2074117149855138,14.147399869333656
2.4250000000000003,0.25,FR,8.9278261140292,0.30159204870674045,20.57137086380974
2.4250000000000003,0.25,RL,-13.04157703582658,0.2074117149855138,14.147399869333656
2.4250000000000003,0.25,RR,-8.9278261140292,0.30159204870674045,20.57137086380974
2.45,0.25,FL,12.882838809007984,0.20778128719149716,14.172608116510068
2.45,0.25,FR,8.852475985476516,0.30103495295196564,20.533371773889208
2.45,0.25,RL,-12.882838809007984,0.20778128719149716,14.172608116510068
2.45,0.25,RR,-8.852475985476516,0.30103495295196564,20.533371773889208
2.475,0.25,FL,12.727855305471346,0.20814493471023013,14.197412245145548
2.475,0.25,FR,8.778377224128977,0.30048961848160904,20.496174912491064
2.475,0.25,RL,-12.727855305471346,0.20814493471023013,14.197412245145548
2.475,0.25,RR,-8.778377224128977,0.30048961848160904,20.496174912491064
2.5,0.25,FL,12.576497053193043,0.20850278175602358,14.221820727806486
2.5,0.25,FR,8.705499155642748,0.29995568005957146,20.459755367130796
2.5,0.25,RL,-12.576497053193043,0.20850278175602358,14.221820727806486
2.5,0.25,RR,-8.705499155642748,0.29995568005957146,20.459755367130796
2.525,0.25,FL,12.428640364500199,0.20885495004387056,14.245841866582655
2.525,0.25,FR,8.633812092257998,0.29943278731331957,20.424089239156704
2.525,0.25,RL,-12.428640364500199,0.20885495004387056,14.245841866582655
2.525,0.25,RR,-8.633812092257998,0.29943278731331957,20.424089239156704
2.5500000000000003,0.25,FL,12.284167022357813,0.20920155877839317,14.26948379233327
2.5500000000000003,0.25,FR,8.56328729376629,0.298920603989466,20.389153592973614
2.5500000000000003,0.25,RL,-12.284167022357813,0.20920155877839317,14.26948379233327
2.5500000000000003,0.25,RR,-8.56328729376629,0.298920603989466,20.389153592973614
2.575,0.25,FL,12.14296398646203,0.20954272465207188,14.292754464566226
2.575,0.25,FR,8.493896930301405,0.29841880725345576,20.354926408275013
2.575,0.25,RL,-12.14296398646203,0.20954272465207188,14.292754464566226
2.575,0.25,RR,-8.493896930301405,0.29841880725345576,20.354926408275013
2.6,0.25,FL,12.004923117726866,0.20987856185149562,14.315661671864406
2.6,0.25,FR,8.425614046855744,0.2979270870303513,20.32138653507845
2.6,0.25,RL,-12.004923117726866,0.20987856185149562,14.315661671864406
2.6,0.25,RR,-8.425614046855744,0.2979270870303513,20.32138653507845
2.625,0.25,FL,11.869940919862968,0.2102091820705208,14.338213032783258
2.625,0.25,FR,8.358412529430579,0.29744514538393735,20.28851365137475
2.625,0.25,RL,-11.869940919862968,0.2102091820705208,14.338213032783258
2.625,0.25,RR,-8.358412529430579,0.29744514538393735,20.28851365137475
2.65,0.25,FL,11.737918296848639,0.21053469452935683,14.36041599715258
2.65,0.25,FR,8.292267072733635,0.2969726959315814,20.256288223216103
2.65,0.25,RL,-11.737918296848639,0.21053469452935683,14.36041599715258
2.65,0.25,RR,-8.292267072733635,0.2969726959315814,20.256288223216103
2.675,0.25,FL,11.608760325186468,0.21085520599871263,14.38227784772356
2.675,0.25,FR,8.227153149342866,0.29650946329247774,20.224691467081165
2.675,0.25,RL,-11.608760325186468,0.21085520599871263,14.38227784772356
2.675,0.25,RR,-8.227153149342866,0.29650946329247774,20.224691467081165
2.7,0.25,FL,11.482376039924286,0.2111708208282408,14.403805702108924
2.7,0.25,FR,8.163046980259926,0.29605518256708246,20.193705314367726
2.7,0.25,RL,-11.482376039924286,0.2111708208282408,14.403805702108924
2.7,0.25,RR,-8.163046980259926,0.29605518256708246,20.193705314367726
2.725,0.25,FL,11.35867823349716,0.21148164097860628,14.42500651497031
2.725,0.25,FR,8.09992550678141,0.2956095988457068,20.163312377874202
2.725,0.25,RL,-11.35867823349716,0.21148164097860628,14.42500651497031
2.725,0.25,RR,-8.09992550678141,0.2956095988457068,20.163312377874202
2.75,0.25,FL,11.237583266518914,0.2117877660565871,14.445887080412469
2.75,0.25,FR,8.03776636362006,0.2951724667443882,20.133495920141772
2.75,0.25,RL,-11.237583266518914,0.2117877660565871,14.445887080412469
2.75,0.25,RR,-8.03776636362006,0.2951724667443882,20.133495920141772
2.775,0.25,FL,11.1190108897173,0.21208929335268512,14.46645403454867
2.775,0.25,FR,7.976547853212143,0.294743549966294,20.104239823538023
2.775,0.25,RL,-11.1190108897173,0.21208929335268512,14.46645403454867
2.775,0.25,RR,-7.976547853212143,0.294743549966294,20.104239823538023
2.8,0.25,FL,11.00288407626737,0.21238631788078813,14.486713858206011
