speed_m_s,total_latency_s,available_deceleration_m_s2,geometric_margin_m,required_clearance_m
0.28,0.3,0.8,0.15,0.28300000000000003
0.29,0.3,0.8,0.15,0.28956249999999994
0.3,0.3,0.8,0.15,0.29625
0.31,0.3,0.8,0.15,0.3030625
0.32,0.3,0.8,0.15,0.31
0.33,0.3,0.8,0.15,0.3170625
0.34,0.3,0.8,0.15,0.32425000000000004
0.35000000000000003,0.3,0.8,0.15,0.3315625
0.36,0.3,0.8,0.15,0.33899999999999997
0.37,0.3,0.8,0.15,0.3465625
0.38,0.3,0.8,0.15,0.35424999999999995
0.39,0.3,0.8,0.15,0.36206249999999995
0.4,0.3,0.8,0.15,0.37
0.41000000000000003,0.3,0.8,0.15,0.37806249999999997
0.42,0.3,0.8,0.15,0.38625
0.43,0.3,0.8,0.15,0.3945625
0.44,0.3,0.8,0.15,0.403
0.45,0.3,0.8,0.15,0.41156250000000005
0.46,0.3,0.8,0.15,0.42025
0.47000000000000003,0.3,0.8,0.15,0.4290625
0.48,0.3,0.8,0.15,0.43799999999999994
0.49,0.3,0.8,0.15,0.44706250000000003
0.5,0.3,0.8,0.15,0.45625000000000004
0.51,0.3,0.8,0.15,0.4655625
0.52,0.3,0.8,0.15,0.475
0.53,0.3,0.8,0.15,0.4845625
0.54,0.3,0.8,0.15,0.49424999999999997
0.55,0.3,0.8,0.15,0.5040625000000001
0.56,0.3,0.8,0.15,0.514
0.5700000000000001,0.3,0.8,0.15,0.5240625000000001
0.58,0.3,0.8,0.15,0.53425
0.59,0.3,0.8,0.15,0.5445625
0.6,0.3,0.8,0.15,0.5549999999999999
0.61,0.3,0.8,0.15,0.5655625
0.62,0.3,0.8,0.15,0.57625
0.63,0.3,0.8,0.15,0.5870625
0.64,0.3,0.8,0.15,0.598
0.65,0.3,0.8,0.15,0.6090625000000001
0.66,0.3,0.8,0.15,0.62025
0.67,0.3,0.8,0.15,0.6315625
0.68,0.3,0.8,0.15,0.643
0.6900000000000001,0.3,0.8,0.15,0.6545625
0.7000000000000001,0.3,0.8,0.15,0.6662500000000001
0.71,0.3,0.8,0.15,0.6780625
0.72,0.3,0.8,0.15,0.69
0.73,0.3,0.8,0.15,0.7020624999999999
0.74,0.3,0.8,0.15,0.7142499999999999
0.75,0.3,0.8,0.15,0.7265625
0.76,0.3,0.8,0.15,0.739
0.77,0.3,0.8,0.15,0.7515625
0.78,0.3,0.8,0.15,0.76425
